index,conversation,class
94,"유산소는 얼마나 하고 있어?
30분 정도? 근데 너무 지루해.
음악 들으면서 하면 좀 낫더라.
그래? 그럼 플레이리스트 하나 만들어봐!
오케이, 신나는 곡으로 채워줄게.",일반
95,"복근 운동은 어떤 거 하고 있어?
플랭크랑 크런치 위주로 해. 너는?
나도 비슷해. 근데 플랭크가 진짜 힘들더라.
꾸준히 하면 금방 늘어! 조금씩 시간을 늘려보자.",일반
96,"요즘 책 읽기가 힘들어졌어. 글자가 너무 흐릿해 보여.
노안 때문 아니야? 돋보기 안경 써봤어?
아직 안 써봤는데, 이제 사야 할 것 같아.
나도 돋보기 쓰니까 훨씬 편하더라. 얼른 맞춰봐!
그래야겠네. 고맙다!",일반
97,"무릎이 자꾸 시큰거려서 걷기가 힘들어졌어.
관절염 아니야? 병원 가봤어?
아직 안 갔는데, 약이라도 먹어야 할까 봐.
병원 가서 물리치료도 받아봐. 효과 좋더라.
알겠어. 이번 주에 예약해야겠다.",일반
98,"요즘 혈압이 자꾸 높아져서 걱정이야.
짜게 먹는 건 줄였어?
웬만하면 싱겁게 먹으려고 노력 중이야.
잘하고 있네! 산책도 꾸준히 하면 더 좋아질 거야.
그래, 매일 아침에 걸으려고 해.",일반
99,"손가락 관절이 뻣뻣해서 물건 잡기가 불편해졌어.
나도 그래. 그래서 요즘 손 스트레칭 자주 해.
스트레칭? 효과 있어?
응, 조금씩 움직여주니까 덜 아프더라. 같이 해보자!",일반
100,"요즘 잠을 잘 못 자서 피곤해.
나도 비슷해. 밤에 자꾸 깨더라고.
혹시 낮잠을 많이 자는 건 아니야?
그런 것 같기도 해. 낮잠 시간을 줄여봐야겠네.",일반
101,"어떤 증상으로 오셨나요?
기침이 며칠째 계속돼서요.
열은 없으셨나요?
네, 열은 없었어요.
약 처방해드릴 테니 드시고 경과를 보세요.",일반
102,"허리가 많이 아프신가요?
네, 오래 앉아 있으면 더 심해져요.
자세를 교정하고 스트레칭을 자주 해보세요.
스트레칭 방법도 알려주시겠어요?
네, 간단한 동작 몇 가지를 알려드릴게요.",일반
103,"혈압 체크 결과가 조금 높습니다.
그럼 약을 먹어야 하나요?
우선 식단 조절과 운동을 권장합니다.
알겠습니다. 꾸준히 관리해볼게요.",일반
104,"소화불량 증상이 얼마나 지속됐나요?
한 달 정도 됐어요.
위 내시경 검사를 받아보시는 게 좋겠어요.
알겠습니다. 예약 잡아주세요.",일반
105,"무릎 통증은 언제부터 시작됐나요?
몇 주 전부터요. 계단 오르내릴 때 특히 아파요.
관절염 가능성이 있으니 X-ray를 찍어봅시다.",일반
106,"어깨 결림 증상이 있나요?
네, 특히 아침에 일어나면 더 심해져요.
검진 결과를 보고 물리치료를 시행해보겠습니다.
알겠습니다. 감사합니다.",일반
107,"요즘 피부가 너무 건조해.
나도 그래. 겨울이라 그런가 봐.
보습 크림은 잘 바르고 있어?
응, 근데 효과가 별로야. 좋은 제품 있으면 추천해줘!
알겠어. 내가 쓰는 거 괜찮으니까 알려줄게.",일반
108,"얼굴에 여드름이 자꾸 나서 고민이야.
혹시 세안 제대로 하고 있어?
응, 그런데도 계속 나더라고.
그럼 피부과 가서 상담 받아보는 게 어때?
좋은 생각이야. 이번 주말에 가봐야겠다.",일반
109,"다이어트하려고 간식을 끊어보려고 해.
그거 쉽지 않을 텐데. 어떻게 할 건데?
과자 대신 과일이나 요거트를 먹으려고.
좋다! 나도 같이 해볼까?
그래, 서로 응원하면서 해보자!",일반
110,"요즘 체중이 조금 늘어서 걱정돼.
운동은 하고 있어?
아직 시작 안 했는데, 뭘 해야 할지 모르겠어.
그럼 나랑 저녁마다 산책할래?
좋아! 같이 하면 더 재미있을 것 같아.",일반
111,"햇빛 때문에 얼굴에 기미가 생긴 것 같아.
선크림 잘 바르고 있어?
솔직히 까먹을 때가 많아.
그럼 꼭 챙겨 발라! 나도 요즘 선크림 열심히 바르고 있어.
알겠어. 내일부터는 꼭 챙길게!",일반
112,"요즘 배우자 건강은 괜찮으세요?
네, 그런데 혈압이 조금 높아서 신경 쓰이고 있어요.
그럼 병원에서 정기적으로 체크는 하고 계시죠?
네, 약도 처방받아서 잘 챙겨 먹고 있어요.
다행이네요. 스트레스 관리도 중요하니까 휴식도 꼭 챙기세요.",일반
113,"아이 감기가 오래 가서 걱정이에요.
병원은 다녀오셨어요?
네, 약도 먹이고 있는데 잘 낫질 않네요.
요즘 환절기라 더 그런 것 같아요. 따뜻하게 입히고 면역력 높이는 음식도 챙겨보세요.
좋은 조언 감사합니다. 그렇게 해볼게요.",일반
114,"어제 병원에서 건강검진 받았는데 결과가 좀 안 좋더라고요.
어떤 부분이 안 좋았나요?
콜레스테롤 수치가 높아서 식단 조절을 해야 할 것 같아요.
그럼 기름진 음식 줄이고 채소 위주로 드셔보세요. 저도 비슷한 경험이 있었거든요.
네, 조언 감사해요. 이번엔 진짜 관리해보려고요.",일반
115,"의료보험 관련해서 좋은 정보 있으세요?
최근에 회사에서 단체 보험 가입을 했는데 혜택이 괜찮더라고요.
정말요? 어떤 항목들이 포함되어 있나요?
건강검진, 입원비 지원 같은 게 포함되어 있어서 유용해요.
저도 한번 알아봐야겠네요. 알려주셔서 감사합니다.",일반
116,"아내가 요즘 허리가 많이 아프대요.
병원에 가보셨어요?
네, 물리치료를 받고 있는데 완전히 낫지는 않네요.
꾸준히 치료받고 집에서도 스트레칭을 해보시면 도움이 될 거예요.
알겠습니다. 스트레칭 방법도 한번 찾아봐야겠어요.",일반
117,"아이 예방접종은 다 마치셨어요?
아직 독감 예방주사는 못 맞췄어요. 이번 주에 데려가려고요.
잘하셨네요. 요즘 유행이라 꼭 맞추는 게 좋아요.
네, 병원 예약은 이미 해놨어요. 감사합니다!",일반
118,"회사에서 제공하는 건강검진 프로그램 이용해보셨어요?
네, 작년에 받았는데 정말 유용했어요.
결과는 괜찮으셨나요?
큰 문제는 없었지만 간 수치가 조금 높아서 술을 줄였어요.
잘하셨네요. 저도 올해는 꼭 받아야겠어요.",일반
119,"운동 시작하려고 하는데 회사 근처에 괜찮은 헬스장이 있을까요?
회사 옆 건물에 새로 생긴 곳이 있어요. 시설도 좋더라고요.
정말요? 시간 날 때 한번 가봐야겠네요.
같이 등록하면 할인도 받을 수 있으니 알아보세요!
좋은 정보 감사합니다!",일반
120,"어머니께서 혈당이 높다고 하시더라고요.
병원에서 약 처방받으셨나요?
네, 약 드시고 계신데 식단 조절이 쉽지 않으신 것 같아요.
그럼 당 줄이는 레시피를 찾아서 같이 만들어드리는 건 어때요?
좋은 생각이에요. 주말에 한번 해봐야겠어요.",일반
121,"회사 동료분들도 독감 예방주사 맞으셨어요?
맞았어요! 요즘 독감 유행이라 꼭 필요하더라고요.
저는 아직 못 맞았는데 어디서 맞으셨어요?
근처 보건소에서 맞았어요. 저렴하고 빠르더라고요.
좋은 정보 감사합니다! 이번 주에 바로 가봐야겠어요.",일반
122,"우리 ○○는 오늘 주사 맞으러 왔구나~
주사 아프지 않아요?
조금 따끔할 수 있는데 금방 끝나! 우리 ○○가 용감하면 멋진 스티커 줄게.
정말요? 그럼 참을게요!
좋아, 준비됐지? 하나, 둘, 셋! 다 끝났다~
오! 진짜 금방 끝났어요!",일반
123,"이거 봐, 선생님이 귀여운 청진기를 가져왔어~
우와, 저거 뭐예요?
이건 선생님이 ○○의 심장 소리를 듣는 도구야. 한 번 들어볼까?
네! 심장이 뿅뿅 소리 나요?
맞아, 뿅뿅 소리가 잘 들리네. 우리 ○○ 심장이 아주 튼튼해요!
정말요? 저 튼튼하대요!",일반
124,"오늘은 키를 재볼 거야~ ○○는 키가 얼마나 클까?
저 엄청 클걸요!
그럼 여기 벽에 딱 붙어서 서볼래? 머리 위에 선 긋는다~
네! 됐어요?
우와~ 우리 ○○ 키가 많이 컸네! 진짜 훌륭해!
헤헤, 저 키 크죠?",일반
125,"자, 이번엔 체중을 재볼 거야. 여기 올라가 볼래?
이거 무서운 거 아니죠?
그럼~ 그냥 몸무게만 재는 거야. 선생님이 숫자만 볼게.
알겠어요! 올라갈게요.
우와~ 우리 ○○ 몸무게가 딱 좋아요! 건강하네.
헤헤, 저 건강해요!",일반
126,"선생님이 손가락에 살짝 바늘로 찌를 건데 괜찮을까?
아프지 않아요?
조금 따끔할 수 있는데 금방 끝나! 우리 ○○는 용감하니까 잘할 수 있어.
그럼 참아볼게요!
짠~ 다 끝났다! 진짜 잘 참았어. 최고야!
정말요? 저 용감하죠?",일반
127,"우리 ○○ 입 안을 한 번 볼까? 아~ 해줄래?
아~ 이렇게 하면 돼요?
우와, 너무 잘했어! 목젖도 한 번 볼게. 아~ 더 크게 해볼까?
아아아~
좋아! 목도 깨끗하고 건강하네. 정말 잘했어!
헤헤, 선생님이 칭찬해줬어요!",일반
128,"오늘은 팔에 살짝 주사를 놓을 거야. 무서울 필요 없어!
진짜 안 아파요?
조금 따끔할 수 있지만, 우리 ○○는 용감하니까 괜찮을 거야.
알겠어요. 참아볼게요.
짠! 다 끝났어. 진짜 멋지다, 우리 ○○!
우와, 진짜 금방 끝났어요!",일반
129,"선생님이 귀여운 청진기로 배도 들어볼게~ 배에 뿅뿅 소리가 나나?
배에서도 소리가 나요?
그럼~ 배 속에서 꼬르륵 소리가 나는지 들어보자.
꼬르륵 소리 났어요?
응, 아주 잘 들려! 우리 ○○ 배도 건강하네.
헤헤, 배도 튼튼해요!",일반
130,"오늘은 손바닥에 살짝 찔러서 피를 조금만 볼 거야.
피가 나오면 어떡해요?
괜찮아! 선생님이 바로 치료해줄 거니까 걱정 마.
알겠어요. 참을게요.
짠! 다 끝났어. 우리 ○○ 진짜 최고다!
정말요? 저 진짜 잘했죠?",일반
131,"우리 ○○는 오늘 키랑 몸무게를 재보자~
키랑 몸무게 다 커졌어요?
그럼 한 번 확인해보자. 여기 서서 가만히 있어봐.
네! 됐어요?
우와~ 키도 크고 몸무게도 딱 좋아! 정말 멋지다.
헤헤, 저 진짜 멋져요!",일반
