index,class,conversation
91,일반,"여기 처음 와봤는데, 뭐가 제일 맛있어요?
저희 가게에서는 매운 닭볶음탕이 제일 인기 많아요!
매운 정도는 조절 가능한가요?
네, 보통맛, 중간맛, 매운맛 중에서 선택하실 수 있어요.
그럼 보통맛으로 하나 주세요!
네, 바로 준비해드릴게요."
92,일반,"저기요, 물 좀 더 주실 수 있을까요?
네, 바로 가져다드릴게요!
감사합니다. 물이 금방 떨어지네요.
오늘 날씨가 더워서 그런가 봐요. 시원한 물로 드릴게요.
네, 정말 감사합니다!"
93,일반,"여기 반찬 리필 가능할까요?
그럼요! 어떤 반찬 더 드릴까요?
김치랑 멸치볶음 조금 더 주세요.
네, 잠시만 기다려주세요. 바로 가져다드릴게요.
감사합니다! 여기 반찬이 정말 맛있어요.
칭찬해주셔서 감사합니다!"
94,일반,"저기요, 음식에 머리카락이 들어있어요...
어머, 정말 죄송합니다! 바로 새로 만들어드릴게요.
괜찮아요. 다음엔 조금만 더 신경 써주세요.
네, 다시는 이런 일 없도록 주의하겠습니다.
알겠습니다. 그래도 음식은 맛있어요!
감사합니다. 더 신경 쓰겠습니다."
95,일반,"여기 영업 시간이 어떻게 되나요?
저희는 오전 11시부터 밤 10시까지 운영해요.
그럼 마지막 주문은 몇 시까지 가능한가요?
마지막 주문은 9시 반까지 가능합니다!
알겠습니다. 다음에 저녁 먹으러 올게요."
96,일반,"여기 배달 주문도 가능한가요?
네, 가능합니다! 전화로 주문하시면 돼요.
배달비는 따로 있나요?
주문 금액이 2만 원 이상이면 무료예요.
좋네요! 다음에 배달로 시켜볼게요."
97,일반,"혹시 주문한 메뉴를 변경할 수 있을까요?
네, 아직 조리 전이라 가능합니다. 어떤 메뉴로 바꾸실 건가요?
불고기 덮밥 대신 제육 덮밥으로 바꿔주세요.
알겠습니다. 바로 변경해드릴게요."
98,일반,"여기 단체 예약도 가능한가요?
네, 가능합니다! 몇 분 예약하시려고 하세요?
10명 정도인데, 이번 주 토요일 저녁이에요.
확인해보고 연락드리겠습니다!"
99,일반,"계산서가 잘못된 것 같아요. 확인 부탁드려도 될까요?
어머, 죄송합니다. 바로 확인해드릴게요.
감사합니다. 천천히 보세요."
100,일반,"식사 후에 디저트도 있나요?
네! 저희 티라미수랑 아이스크림이 인기 많아요."
101,일반,"오늘은 하체 운동하는 날이지?
맞아. 스쿼트 몇 세트 할 거야?
4세트 정도? 근데 무게를 좀 늘려볼까 생각 중이야.
좋아! 나도 오늘은 무게 좀 도전해봐야겠다.
그럼 같이 해보자. 끝나고 단백질 쉐이크 한 잔씩 하자!
오케이, 벌크업 가즈아!"
102,일반,"요즘 체지방 줄이는 게 너무 힘들어.
식단은 잘 지키고 있어?
웬만하면 지키는데, 야식이 문제야.
야식만 끊으면 금방 효과 볼 거야. 나도 그랬거든.
알겠어. 오늘부터 진짜 참아볼게!"
103,일반,"벤치프레스 기록 늘었어?
어제 5kg 더 들었어! 진짜 힘들더라.
대단하다! 나도 기록 갱신하려면 더 열심히 해야겠네.
같이 하자! 서로 도와주면 더 잘될 거야.
좋아, 다음엔 내가 스팟 잡아줄게."
104,일반,"유산소는 얼마나 하고 있어?
30분 정도? 근데 너무 지루해.
음악 들으면서 하면 좀 낫더라.
그래? 그럼 플레이리스트 하나 만들어봐!
오케이, 신나는 곡으로 채워줄게."
105,일반,"복근 운동은 어떤 거 하고 있어?
플랭크랑 크런치 위주로 해. 너는?
나도 비슷해. 근데 플랭크가 진짜 힘들더라.
꾸준히 하면 금방 늘어! 조금씩 시간을 늘려보자."
106,일반,"요즘 책 읽기가 힘들어졌어. 글자가 너무 흐릿해 보여.
노안 때문 아니야? 돋보기 안경 써봤어?
아직 안 써봤는데, 이제 사야 할 것 같아.
나도 돋보기 쓰니까 훨씬 편하더라. 얼른 맞춰봐!
그래야겠네. 고맙다!"
107,일반,"무릎이 자꾸 시큰거려서 걷기가 힘들어졌어.
관절염 아니야? 병원 가봤어?
아직 안 갔는데, 약이라도 먹어야 할까 봐.
병원 가서 물리치료도 받아봐. 효과 좋더라.
알겠어. 이번 주에 예약해야겠다."
108,일반,"요즘 혈압이 자꾸 높아져서 걱정이야.
짜게 먹는 건 줄였어?
웬만하면 싱겁게 먹으려고 노력 중이야.
잘하고 있네! 산책도 꾸준히 하면 더 좋아질 거야.
그래, 매일 아침에 걸으려고 해."
109,일반,"손가락 관절이 뻣뻣해서 물건 잡기가 불편해졌어.
나도 그래. 그래서 요즘 손 스트레칭 자주 해.
스트레칭? 효과 있어?
응, 조금씩 움직여주니까 덜 아프더라. 같이 해보자!"
110,일반,"요즘 잠을 잘 못 자서 피곤해.
나도 비슷해. 밤에 자꾸 깨더라고.
혹시 낮잠을 많이 자는 건 아니야?
그런 것 같기도 해. 낮잠 시간을 줄여봐야겠네."
111,일반,"어떤 증상으로 오셨나요?
기침이 며칠째 계속돼서요.
열은 없으셨나요?
네, 열은 없었어요.
약 처방해드릴 테니 드시고 경과를 보세요."
112,일반,"허리가 많이 아프신가요?
네, 오래 앉아 있으면 더 심해져요.
자세를 교정하고 스트레칭을 자주 해보세요.
스트레칭 방법도 알려주시겠어요?
네, 간단한 동작 몇 가지를 알려드릴게요."
113,일반,"혈압 체크 결과가 조금 높습니다.
그럼 약을 먹어야 하나요?
우선 식단 조절과 운동을 권장합니다.
알겠습니다. 꾸준히 관리해볼게요."
114,일반,"소화불량 증상이 얼마나 지속됐나요?
한 달 정도 됐어요.
위 내시경 검사를 받아보시는 게 좋겠어요.
알겠습니다. 예약 잡아주세요."
115,일반,"무릎 통증은 언제부터 시작됐나요?
몇 주 전부터요. 계단 오르내릴 때 특히 아파요.
관절염 가능성이 있으니 X-ray를 찍어봅시다."
116,일반,"어깨 결림 증상이 있나요?
네, 특히 아침에 일어나면 더 심해져요.
검진 결과를 보고 물리치료를 시행해보겠습니다.
알겠습니다. 감사합니다."
117,일반,"요즘 피부가 너무 건조해.
나도 그래. 겨울이라 그런가 봐.
보습 크림은 잘 바르고 있어?
응, 근데 효과가 별로야. 좋은 제품 있으면 추천해줘!
알겠어. 내가 쓰는 거 괜찮으니까 알려줄게."
118,일반,"얼굴에 여드름이 자꾸 나서 고민이야.
혹시 세안 제대로 하고 있어?
응, 그런데도 계속 나더라고.
그럼 피부과 가서 상담 받아보는 게 어때?
좋은 생각이야. 이번 주말에 가봐야겠다."
119,일반,"다이어트하려고 간식을 끊어보려고 해.
그거 쉽지 않을 텐데. 어떻게 할 건데?
과자 대신 과일이나 요거트를 먹으려고.
좋다! 나도 같이 해볼까?
그래, 서로 응원하면서 해보자!"
120,일반,"요즘 체중이 조금 늘어서 걱정돼.
운동은 하고 있어?
아직 시작 안 했는데, 뭘 해야 할지 모르겠어.
그럼 나랑 저녁마다 산책할래?
좋아! 같이 하면 더 재미있을 것 같아."
121,일반,"햇빛 때문에 얼굴에 기미가 생긴 것 같아.
선크림 잘 바르고 있어?
솔직히 까먹을 때가 많아.
그럼 꼭 챙겨 발라! 나도 요즘 선크림 열심히 바르고 있어.
알겠어. 내일부터는 꼭 챙길게!"
122,일반,"요즘 배우자 건강은 괜찮으세요?
네, 그런데 혈압이 조금 높아서 신경 쓰이고 있어요.
그럼 병원에서 정기적으로 체크는 하고 계시죠?
네, 약도 처방받아서 잘 챙겨 먹고 있어요.
다행이네요. 스트레스 관리도 중요하니까 휴식도 꼭 챙기세요."
123,일반,"아이 감기가 오래 가서 걱정이에요.
병원은 다녀오셨어요?
네, 약도 먹이고 있는데 잘 낫질 않네요.
요즘 환절기라 더 그런 것 같아요. 따뜻하게 입히고 면역력 높이는 음식도 챙겨보세요.
좋은 조언 감사합니다. 그렇게 해볼게요."
124,일반,"어제 병원에서 건강검진 받았는데 결과가 좀 안 좋더라고요.
어떤 부분이 안 좋았나요?
콜레스테롤 수치가 높아서 식단 조절을 해야 할 것 같아요.
그럼 기름진 음식 줄이고 채소 위주로 드셔보세요. 저도 비슷한 경험이 있었거든요.
네, 조언 감사해요. 이번엔 진짜 관리해보려고요."
125,일반,"의료보험 관련해서 좋은 정보 있으세요?
최근에 회사에서 단체 보험 가입을 했는데 혜택이 괜찮더라고요.
정말요? 어떤 항목들이 포함되어 있나요?
건강검진, 입원비 지원 같은 게 포함되어 있어서 유용해요.
저도 한번 알아봐야겠네요. 알려주셔서 감사합니다."
126,일반,"아내가 요즘 허리가 많이 아프대요.
병원에 가보셨어요?
네, 물리치료를 받고 있는데 완전히 낫지는 않네요.
꾸준히 치료받고 집에서도 스트레칭을 해보시면 도움이 될 거예요.
알겠습니다. 스트레칭 방법도 한번 찾아봐야겠어요."
127,일반,"아이 예방접종은 다 마치셨어요?
아직 독감 예방주사는 못 맞췄어요. 이번 주에 데려가려고요.
잘하셨네요. 요즘 유행이라 꼭 맞추는 게 좋아요.
네, 병원 예약은 이미 해놨어요. 감사합니다!"
128,일반,"회사에서 제공하는 건강검진 프로그램 이용해보셨어요?
네, 작년에 받았는데 정말 유용했어요.
결과는 괜찮으셨나요?
큰 문제는 없었지만 간 수치가 조금 높아서 술을 줄였어요.
잘하셨네요. 저도 올해는 꼭 받아야겠어요."
129,일반,"운동 시작하려고 하는데 회사 근처에 괜찮은 헬스장이 있을까요?
회사 옆 건물에 새로 생긴 곳이 있어요. 시설도 좋더라고요.
정말요? 시간 날 때 한번 가봐야겠네요.
같이 등록하면 할인도 받을 수 있으니 알아보세요!
좋은 정보 감사합니다!"
130,일반,"어머니께서 혈당이 높다고 하시더라고요.
병원에서 약 처방받으셨나요?
네, 약 드시고 계신데 식단 조절이 쉽지 않으신 것 같아요.
그럼 당 줄이는 레시피를 찾아서 같이 만들어드리는 건 어때요?
좋은 생각이에요. 주말에 한번 해봐야겠어요."
131,일반,"회사 동료분들도 독감 예방주사 맞으셨어요?
맞았어요! 요즘 독감 유행이라 꼭 필요하더라고요.
저는 아직 못 맞았는데 어디서 맞으셨어요?
근처 보건소에서 맞았어요. 저렴하고 빠르더라고요.
좋은 정보 감사합니다! 이번 주에 바로 가봐야겠어요."
132,일반,"우리 ○○는 오늘 주사 맞으러 왔구나~
주사 아프지 않아요?
조금 따끔할 수 있는데 금방 끝나! 우리 ○○가 용감하면 멋진 스티커 줄게.
정말요? 그럼 참을게요!
좋아, 준비됐지? 하나, 둘, 셋! 다 끝났다~
오! 진짜 금방 끝났어요!"
133,일반,"이거 봐, 선생님이 귀여운 청진기를 가져왔어~
우와, 저거 뭐예요?
이건 선생님이 ○○의 심장 소리를 듣는 도구야. 한 번 들어볼까?
네! 심장이 뿅뿅 소리 나요?
맞아, 뿅뿅 소리가 잘 들리네. 우리 ○○ 심장이 아주 튼튼해요!
정말요? 저 튼튼하대요!"
134,일반,"오늘은 키를 재볼 거야~ ○○는 키가 얼마나 클까?
저 엄청 클걸요!
그럼 여기 벽에 딱 붙어서 서볼래? 머리 위에 선 긋는다~
네! 됐어요?
우와~ 우리 ○○ 키가 많이 컸네! 진짜 훌륭해!
헤헤, 저 키 크죠?"
135,일반,"자, 이번엔 체중을 재볼 거야. 여기 올라가 볼래?
이거 무서운 거 아니죠?
그럼~ 그냥 몸무게만 재는 거야. 선생님이 숫자만 볼게.
알겠어요! 올라갈게요.
우와~ 우리 ○○ 몸무게가 딱 좋아요! 건강하네.
헤헤, 저 건강해요!"
136,일반,"선생님이 손가락에 살짝 바늘로 찌를 건데 괜찮을까?
아프지 않아요?
조금 따끔할 수 있는데 금방 끝나! 우리 ○○는 용감하니까 잘할 수 있어.
그럼 참아볼게요!
짠~ 다 끝났다! 진짜 잘 참았어. 최고야!
정말요? 저 용감하죠?"
137,일반,"우리 ○○ 입 안을 한 번 볼까? 아~ 해줄래?
아~ 이렇게 하면 돼요?
우와, 너무 잘했어! 목젖도 한 번 볼게. 아~ 더 크게 해볼까?
아아아~
좋아! 목도 깨끗하고 건강하네. 정말 잘했어!
헤헤, 선생님이 칭찬해줬어요!"
138,일반,"오늘은 팔에 살짝 주사를 놓을 거야. 무서울 필요 없어!
진짜 안 아파요?
조금 따끔할 수 있지만, 우리 ○○는 용감하니까 괜찮을 거야.
알겠어요. 참아볼게요.
짠! 다 끝났어. 진짜 멋지다, 우리 ○○!
우와, 진짜 금방 끝났어요!"
139,일반,"선생님이 귀여운 청진기로 배도 들어볼게~ 배에 뿅뿅 소리가 나나?
배에서도 소리가 나요?
그럼~ 배 속에서 꼬르륵 소리가 나는지 들어보자.
꼬르륵 소리 났어요?
응, 아주 잘 들려! 우리 ○○ 배도 건강하네.
헤헤, 배도 튼튼해요!"
140,일반,"오늘은 손바닥에 살짝 찔러서 피를 조금만 볼 거야.
피가 나오면 어떡해요?
괜찮아! 선생님이 바로 치료해줄 거니까 걱정 마.
알겠어요. 참을게요.
짠! 다 끝났어. 우리 ○○ 진짜 최고다!
정말요? 저 진짜 잘했죠?"
141,일반,"우리 ○○는 오늘 키랑 몸무게를 재보자~
키랑 몸무게 다 커졌어요?
그럼 한 번 확인해보자. 여기 서서 가만히 있어봐.
네! 됐어요?
우와~ 키도 크고 몸무게도 딱 좋아! 정말 멋지다.
헤헤, 저 진짜 멋져요!"
142,일반,"이 집 초밥 진짜 맛있다.
그래? 뭐가 제일 맛있어?
나는 연어초밥이 제일 좋아. 부드럽고 고소해.
그럼 나는 광어초밥 먹어봐야겠다. 신선해 보이네.
응, 그리고 간장에 와사비 조금 넣어서 찍어 먹으면 딱이야."
143,일반,"광어회랑 방어회 중에 뭐가 더 맛있을까?
방어회는 겨울에 먹으면 진짜 맛있대.
그럼 방어로 주문하자. 스끼다시도 많이 나오겠지?
응, 여긴 스끼다시가 푸짐하기로 유명해.
좋아! 매운탕도 추가하자."
144,일반,"지금 제철 생선 뭐가 있어?
겨울엔 방어랑 도미가 제철이래.
그럼 방어회로 먹자. 기름진 맛이 좋잖아.
맞아. 그리고 도미는 구이로 먹으면 더 맛있대.
좋아, 둘 다 시켜보자."
145,일반,"여기 회 진짜 신선해 보인다.
응, 주방도 오픈형이라 믿음 가더라.
맞아, 손질하는 모습 보니까 위생적으로 잘 관리하는 것 같아.
그래서 그런지 회 맛도 깔끔하고 좋아.
다음에도 여기 오자."
146,일반,"숙성회랑 활어회 중에 뭐가 더 나을까?
숙성회는 감칠맛이 더 강하대.
오, 그럼 숙성 광어회 한번 먹어볼까?
좋아. 그리고 숙성된 연어도 추가하자.
완전 기대된다. 빨리 먹고 싶다!"
147,일반,"여기 회 가격 괜찮은 것 같아.
응, 다른 데보다 가성비 좋은 편이야.
특히 모둠회 시키면 양도 많고 다양해서 좋아.
맞아. 매운탕까지 포함인데 이 정도면 완전 혜자지.
다음엔 친구들 데려와야겠다."
148,일반,"간장에 와사비 얼마나 넣는 게 좋아?
적당히 섞어서 살짝 찍어 먹는 게 딱 좋아.
너무 많이 넣으면 생선 맛을 못 느끼겠더라.
맞아. 특히 광어나 도미 같은 담백한 생선은 더 그래.
알겠어. 이번엔 신경 써서 먹어볼게."
149,일반,"스끼다시 진짜 다양하다!
그러게, 전복부터 멍게까지 다 나오네.
그리고 이 해산물 샐러드도 맛있다.
맞아, 여긴 스끼다시만으로도 배부르겠다.
그래도 메인 회는 꼭 먹어야지!"
150,일반,"매운탕 국물 진짜 얼큰하다!
응, 생선살도 많이 들어가 있어서 좋아.
나중에 사리 추가해서 라면 넣자.
완전 좋지! 국물에 라면 넣으면 진짜 끝내줘.
그럼 사리 추가 바로 주문할게."
151,일반,"여기 인기 많아서 예약해야 한대.
그래? 그럼 미리 전화해보자.
주말엔 자리 없을 수도 있으니까 서둘러야겠다.
맞아, 특히 저녁 시간대는 금방 찬다고 하더라.
알았어. 내가 바로 예약할게."
152,일반,"신분증 꼭 챙겼지?
응, 요즘 술집에서 신분증 검사 철저하더라.
맞아, 안 가져오면 입장도 못 해.
그러니까 항상 지갑에 넣고 다녀야 해.
알겠어. 다음부터 절대 안 까먹을게."
153,일반,"안주 뭐 시킬까?
나는 치즈 플래터가 땡긴다.
오, 그거 괜찮네. 나는 닭강정도 추천!
좋아, 둘 다 시켜서 같이 먹자.
콜! 술이랑 잘 어울릴 것 같아."
154,일반,"술 좀 마셨으니까 대리 불러야겠다.
응, 안전하게 집 가는 게 중요하지.
앱으로 부를까 아니면 전화로 할까?
앱으로 하면 할인 쿠폰 쓸 수 있을 거야.
좋아, 내가 바로 호출할게."
155,일반,"여기 서비스로 과일 나왔네!
와, 사장님 센스 있다!
그러게. 이런 작은 서비스가 기분 좋더라.
맞아, 다음에도 여기 자주 오고 싶다.
우리 단골 되겠는데?"
156,일반,"여기 분위기 진짜 좋다!
응, 조명도 은은하고 음악도 딱 좋아.
그리고 테이블 간격이 넓어서 편안하다.
맞아. 이런 데서 오래 얘기해도 안 질릴 것 같아.
우리 다음엔 친구들 데리고 다시 오자."
157,일반,"메뉴판에 뭐가 이렇게 많아?
그러게, 고르기가 힘들 정도야.
그럼 추천 메뉴부터 골라보자.
좋아! 그리고 맥주는 생맥주로 하자.
콜! 생맥주가 제일 시원하고 맛있잖아."
158,일반,"자리 미리 예약하길 잘했다!
그러게, 지금 보니까 꽉 찼네.
특히 금요일 밤에는 항상 붐비더라.
맞아. 다음에도 미리 예약해야겠다.
완전 공감! 편하게 자리 잡으니까 좋네."
159,일반,"오늘은 소주 말고 다른 거 마셔볼까?
좋아! 그럼 칵테일 어때?
오랜만에 칵테일 괜찮네. 상큼한 걸로 골라보자.
나는 모히또 마실래. 너는?
나는 피치 크러쉬로 할게!"
160,일반,"계산 어떻게 나눌까?
각자 마신 만큼 내는 게 좋지 않을까?
그럼 앱으로 계산서 나눌 수 있나 확인해볼게.
좋다! 그러면 깔끔하게 정리되겠네.
응, 내가 먼저 계산하고 보내줄게."
161,일반,"마지막으로 뭐 더 시킬래?
나는 감바스 추가하고 싶어!
오케이! 그럼 맥주 한 잔씩 더 하자.
좋지! 이대로 끝내긴 아쉽잖아.
완전 동의! 바로 주문하자."
